"Statistic Label","Census Year","Sex","Type of difficulty or condition","Extent of difficulty or condition","Type of Communal Establishment","UNIT","VALUE"
"People with a disability","2022","Male","Basic physical activities","Any Extent","All persons","Number","11546"
"People with a disability","2022","Male","Basic physical activities","Any Extent","Hotel","Number","514"
"People with a disability","2022","Male","Basic physical activities","Any Extent","Guest house, boarding house or B&B","Number","73"
"People with a disability","2022","Male","Basic physical activities","Any Extent","Tourist/youth hostel or campsite","Number","23"
"People with a disability","2022","Male","Basic physical activities","Any Extent","Student specific accommodation","Number","47"
"People with a disability","2022","Male","Basic physical activities","Any Extent","Religious community","Number","235"
"People with a disability","2022","Male","Basic physical activities","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","1342"
"People with a disability","2022","Male","Basic physical activities","Any Extent","Children's home","Number","4"
"People with a disability","2022","Male","Basic physical activities","Any Extent","Nursing home","Number","6375"
"People with a disability","2022","Male","Basic physical activities","Any Extent","Hospital","Number","1978"
"People with a disability","2022","Male","Basic physical activities","Any Extent","Defence establishment","Number","4"
"People with a disability","2022","Male","Basic physical activities","Any Extent","Prison","Number","164"
"People with a disability","2022","Male","Basic physical activities","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","615"
"People with a disability","2022","Male","Basic physical activities","Any Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Male","Basic physical activities","Any Extent","Other, including not stated","Number","172"
"People with a disability","2022","Male","Basic physical activities","Some Extent","All persons","Number","4630"
"People with a disability","2022","Male","Basic physical activities","Some Extent","Hotel","Number","363"
"People with a disability","2022","Male","Basic physical activities","Some Extent","Guest house, boarding house or B&B","Number","49"
"People with a disability","2022","Male","Basic physical activities","Some Extent","Tourist/youth hostel or campsite","Number","19"
"People with a disability","2022","Male","Basic physical activities","Some Extent","Student specific accommodation","Number","40"
"People with a disability","2022","Male","Basic physical activities","Some Extent","Religious community","Number","150"
"People with a disability","2022","Male","Basic physical activities","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","530"
"People with a disability","2022","Male","Basic physical activities","Some Extent","Children's home","Number","4"
"People with a disability","2022","Male","Basic physical activities","Some Extent","Nursing home","Number","2008"
"People with a disability","2022","Male","Basic physical activities","Some Extent","Hospital","Number","884"
